Sex,height,mass,Sport,Club,club_1,club_2,club_3,club_week,class,Testdate,School,Name,Location,Filename,Board,Admin,cohort,Inclusion,S20,BPT,SLJ,OLB,Star,Run,note,Birthdate,Child,District
m,145,36,nein,ja,Turnen/Gymnastik,NA,NA,einmal,3,2022-12-02T00:00:00Z,11322,Krayenbergschule Tiefenort Staatliche Grundschule,Bad Salzungen OT Tiefenort,./22raw/11322_Krayenbergschule_Tiefenort.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.8,4.2,116,7,26.4,837,keine,2014-04-10T00:00:00Z,C001401,Landkreis Wartburgkreis
m,129,40,ja,nein,NA,NA,NA,--wählen--,3,2022-12-02T00:00:00Z,11322,Krayenbergschule Tiefenort Staatliche Grundschule,Bad Salzungen OT Tiefenort,./22raw/11322_Krayenbergschule_Tiefenort.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,5.4,4,80,1,29.7,720,keine,2014-07-17T00:00:00Z,C001402,Landkreis Wartburgkreis
m,140,36,nein,ja,Andere,NA,NA,einmal,3,2022-12-02T00:00:00Z,11322,Krayenbergschule Tiefenort Staatliche Grundschule,Bad Salzungen OT Tiefenort,./22raw/11322_Krayenbergschule_Tiefenort.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,5.2,3.4,120,8,28,936,keine,2014-01-20T00:00:00Z,C001403,Landkreis Wartburgkreis
m,135,32,ja,ja,Fussball,NA,NA,zweimal,3,2022-12-02T00:00:00Z,11322,Krayenbergschule Tiefenort Staatliche Grundschule,Bad Salzungen OT Tiefenort,./22raw/11322_Krayenbergschule_Tiefenort.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.4,2.6,140,7,NA,0,keine,2014-06-15T00:00:00Z,C001404,Landkreis Wartburgkreis
m,141,31,nein,ja,Leichtathletik,NA,NA,zweimal,3,2022-12-02T00:00:00Z,11322,Krayenbergschule Tiefenort Staatliche Grundschule,Bad Salzungen OT Tiefenort,./22raw/11322_Krayenbergschule_Tiefenort.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.2,4.3,129,4,24.7,990,keine,2014-06-16T00:00:00Z,C001405,Landkreis Wartburgkreis
m,135,28,ja,ja,Fussball,NA,NA,zweimal,3,2022-12-02T00:00:00Z,11322,Krayenbergschule Tiefenort Staatliche Grundschule,Bad Salzungen OT Tiefenort,./22raw/11322_Krayenbergschule_Tiefenort.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4,3.6,140,9,23.6,1152,keine,2013-12-11T00:00:00Z,C001406,Landkreis Wartburgkreis
w,134,22,nein,nein,NA,NA,NA,--wählen--,3,2022-12-02T00:00:00Z,11322,Krayenbergschule Tiefenort Staatliche Grundschule,Bad Salzungen OT Tiefenort,./22raw/11322_Krayenbergschule_Tiefenort.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.4,3.1,140,5,27.9,828,keine,2013-11-05T00:00:00Z,C001407,Landkreis Wartburgkreis
m,144,43,ja,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,5.1,5,120,30,22.6,0,keine,2014-03-04T00:00:00Z,C001408,Landkreis Wartburgkreis
m,133,33,nein,ja,Kampfsport,NA,NA,zweimal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,5,4.6,130,6,24.8,936,keine,2014-04-20T00:00:00Z,C001409,Landkreis Wartburgkreis
m,147,49,ja,ja,Fussball,NA,NA,mehr als dreimal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.7,5.6,120,11,23.1,972,keine,2013-10-01T00:00:00Z,C001410,Landkreis Wartburgkreis
m,130,25,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4,4.7,155,10,20.7,0,keine,2014-02-18T00:00:00Z,C001411,Landkreis Wartburgkreis
m,137,25,nein,ja,Fussball,Tischtennis,NA,dreimal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,5,4.8,120,12,25.1,1071,keine,2014-04-29T00:00:00Z,C001412,Landkreis Wartburgkreis
m,128,25,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.9,3.5,130,8,28.3,873,keine,2014-05-17T00:00:00Z,C001413,Landkreis Wartburgkreis
m,126,27,nein,ja,Fussball,NA,NA,dreimal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.9,3.2,125,19,24.6,882,keine,2013-10-31T00:00:00Z,C001414,Landkreis Wartburgkreis
w,143,37,nein,ja,Tanzen/Aerobic,NA,NA,einmal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.6,5.4,155,6,22.7,864,keine,2013-10-07T00:00:00Z,C001415,Landkreis Wartburgkreis
w,137,29,nein,ja,Turnen/Gymnastik,NA,NA,einmal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.5,4.7,140,14,23.3,0,keine,2014-06-22T00:00:00Z,C001416,Landkreis Wartburgkreis
w,137,28,ja,ja,Turnen/Gymnastik,NA,NA,zweimal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.2,4.5,160,6,24.7,936,keine,2013-06-18T00:00:00Z,C001417,Landkreis Wartburgkreis
w,130,30,ja,ja,Schwimmen,NA,NA,einmal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.2,3.7,145,10,24.3,945,keine,2014-08-01T00:00:00Z,C001418,Landkreis Wartburgkreis
m,132,27,nein,ja,Fussball,NA,NA,dreimal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.3,4.2,120,6,23.9,900,keine,2014-08-12T00:00:00Z,C001419,Landkreis Wartburgkreis
w,131,22,nein,ja,Turnen/Gymnastik,NA,NA,einmal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.9,4,150,15,25.1,1098,keine,2013-12-23T00:00:00Z,C001420,Landkreis Wartburgkreis
w,133,25,nein,ja,Turnen/Gymnastik,NA,NA,einmal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.9,3.9,140,60,25.1,891,keine,2014-04-28T00:00:00Z,C001421,Landkreis Wartburgkreis
w,127,22,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,5.1,3.1,105,54,28.7,1044,keine,2013-12-06T00:00:00Z,C001422,Landkreis Wartburgkreis
w,127,28,nein,ja,Kampfsport,Andere,NA,zweimal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,5.1,3.8,140,52,27.3,864,keine,2014-07-09T00:00:00Z,C001423,Landkreis Wartburgkreis
w,134,30,nein,ja,Turnen/Gymnastik,NA,NA,einmal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,5,3.3,115,15,26.1,1044,keine,2014-07-28T00:00:00Z,C001424,Landkreis Wartburgkreis
w,134,30,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,5.1,3.3,120,7,24.2,0,keine,2014-06-12T00:00:00Z,C001425,Landkreis Wartburgkreis
w,126,22,nein,ja,Turnen/Gymnastik,Schwimmen,Skisport,einmal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,5,3.7,110,20,27.6,882,keine,2014-06-13T00:00:00Z,C001426,Landkreis Wartburgkreis
w,138,32,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.4,5,145,17,22.8,0,keine,2013-12-03T00:00:00Z,C001427,Landkreis Wartburgkreis
m,134,28,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.1,3.4,125,13,20.8,0,keine,2014-06-29T00:00:00Z,C001428,Landkreis Wartburgkreis
m,140,27,nein,ja,Fussball,NA,NA,dreimal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,5,3.4,125,23,22.9,1053,keine,2014-05-29T00:00:00Z,C001429,Landkreis Wartburgkreis
m,136,44,nein,ja,Kampfsport,NA,NA,zweimal,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,5.5,4.6,110,5,24.7,819,keine,2014-06-08T00:00:00Z,C001430,Landkreis Wartburgkreis
m,139,34,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.2,4.5,125,5,26.6,1062,keine,2014-01-30T00:00:00Z,C001431,Landkreis Wartburgkreis
m,138,30,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.8,4.8,145,8,26,1062,keine,2013-10-24T00:00:00Z,C001432,Landkreis Wartburgkreis
m,133,33,ja,ja,Kampfsport,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.4,4.2,120,10,30.6,846,keine,2014-05-24T00:00:00Z,C001433,Landkreis Wartburgkreis
m,148,35,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,11335,Staatliche Grundschule Buttlar,Buttlar,./22raw/11335_GS_Buttlar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,3.8,4.5,130,7,24.4,0,keine,2013-06-16T00:00:00Z,C001434,Landkreis Wartburgkreis
w,124,25,nein,nein,NA,NA,NA,--wählen--,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.5,2.8,152,5,24.1,873,keine,2013-10-07T00:00:00Z,C001435,Landkreis Wartburgkreis
w,138,32,nein,ja,Reiten/Voltigieren,NA,NA,einmal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.8,3.7,117,4,26.7,918,keine,2014-04-23T00:00:00Z,C001436,Landkreis Wartburgkreis
w,131,26,nein,ja,Reiten/Voltigieren,NA,NA,einmal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.5,2.9,106,6,24.2,846,keine,2014-02-17T00:00:00Z,C001437,Landkreis Wartburgkreis
w,128,22,nein,ja,Fussball,NA,NA,dreimal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.1,4.3,145,10,21.8,1008,keine,2014-06-21T00:00:00Z,C001438,Landkreis Wartburgkreis
m,134,34,nein,nein,Andere,NA,NA,--wählen--,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.8,4.1,93,4,26.3,819,keine,2013-11-05T00:00:00Z,C001439,Landkreis Wartburgkreis
w,146,38,nein,nein,NA,NA,NA,--wählen--,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.2,4.7,158,3,NA,936,Probleme Sternlauf,2013-09-23T00:00:00Z,C001440,Landkreis Wartburgkreis
m,127,25,nein,ja,Fussball,NA,NA,zweimal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4,4.4,148,9,23.6,1098,keine,2013-10-10T00:00:00Z,C001441,Landkreis Wartburgkreis
m,137,30,nein,ja,Fussball,NA,NA,zweimal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.1,3.5,153,9,27.1,1116,keine,2013-11-22T00:00:00Z,C001442,Landkreis Wartburgkreis
m,141,38,nein,ja,Fussball,NA,NA,zweimal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.3,4.6,123,4,23.3,900,keine,2013-10-14T00:00:00Z,C001443,Landkreis Wartburgkreis
m,153,37,nein,NA,Andere,NA,NA,einmal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,emotionale & soziale Entw.,4.5,4.3,110,12,26.9,819,keine,2013-06-13T00:00:00Z,C001444,Landkreis Wartburgkreis
w,130,26,nein,ja,Reiten/Voltigieren,NA,NA,einmal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.2,4.2,149,18,23.6,945,keine,2014-02-15T00:00:00Z,C001445,Landkreis Wartburgkreis
w,122,NA,nein,nein,NA,NA,NA,--wählen--,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.6,3.5,133,15,25.5,873,keine,2014-07-29T00:00:00Z,C001446,Landkreis Wartburgkreis
w,134,29,nein,ja,Reiten/Voltigieren,NA,NA,einmal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.2,2.8,113,2,25.5,936,keine,2013-08-28T00:00:00Z,C001447,Landkreis Wartburgkreis
w,127,24,nein,ja,Tanzen/Aerobic,NA,NA,einmal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.2,4,156,60,22.1,918,keine,2014-05-03T00:00:00Z,C001448,Landkreis Wartburgkreis
m,140,29,nein,ja,Fussball,NA,NA,zweimal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.3,4.1,152,2,20.4,1080,keine,2014-06-30T00:00:00Z,C001449,Landkreis Wartburgkreis
m,137,29,nein,ja,Kampfsport,NA,NA,zweimal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,3.5,3.9,169,6,23.1,1026,keine,NA,C001450,Landkreis Wartburgkreis
m,138,29,ja,nein,NA,NA,NA,--wählen--,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.5,3.4,110,58,24,954,keine,2013-10-21T00:00:00Z,C001451,Landkreis Wartburgkreis
w,128,30,nein,ja,Tanzen/Aerobic,NA,NA,--wählen--,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,3.8,4.4,163,3,22.6,1134,keine,2013-09-09T00:00:00Z,C001452,Landkreis Wartburgkreis
w,131,26,nein,ja,Reiten/Voltigieren,Tanzen/Aerobic,NA,dreimal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.7,3,128,35,25.1,864,keine,2013-12-07T00:00:00Z,C001453,Landkreis Wartburgkreis
w,136,34,nein,ja,Tanzen/Aerobic,NA,NA,einmal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,5.1,3.5,105,7,28.1,801,keine,2014-07-23T00:00:00Z,C001454,Landkreis Wartburgkreis
m,140,30,nein,ja,Fussball,NA,NA,zweimal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,3.6,4.6,158,13,20.2,1044,keine,2014-03-18T00:00:00Z,C001455,Landkreis Wartburgkreis
w,NA,NA,nein,ja,Reiten/Voltigieren,NA,NA,einmal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.7,4.2,145,32,28.5,909,keine,2014-06-17T00:00:00Z,C001456,Landkreis Wartburgkreis
m,138,29,ja,ja,Fussball,NA,NA,zweimal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.2,3.9,130,10,21.8,999,keine,2014-03-05T00:00:00Z,C001457,Landkreis Wartburgkreis
m,146,33,nein,nein,NA,NA,NA,--wählen--,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.4,3.9,137,3,26,1008,keine,2013-08-22T00:00:00Z,C001458,Landkreis Wartburgkreis
m,136,28,nein,nein,Kampfsport,NA,NA,einmal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.5,3.6,134,6,29,963,keine,2014-01-14T00:00:00Z,C001459,Landkreis Wartburgkreis
m,144,38,nein,nein,NA,NA,NA,einmal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.3,4.1,132,20,27.7,1044,keine,2013-09-17T00:00:00Z,C001460,Landkreis Wartburgkreis
w,130,26,nein,nein,Tanzen/Aerobic,NA,NA,einmal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.4,3.4,146,15,23.4,648,Abbruch 6-Minuten-Lauf,2014-04-04T00:00:00Z,C001461,Landkreis Wartburgkreis
m,135,NA,nein,nein,NA,NA,NA,--wählen--,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4,3.7,145,2,NA,918,keine,2013-08-02T00:00:00Z,C001462,Landkreis Wartburgkreis
m,141,42,nein,ja,Volleyball,NA,NA,einmal,3,2022-11-29T00:00:00Z,11340,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",Geisa,./22raw/11340_GS_Konstantin_Gutberlet_Geismar.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.5,3.4,130,5,26.4,855,keine,2013-07-26T00:00:00Z,C001463,Landkreis Wartburgkreis
w,136,35,nein,ja,Reiten/Voltigieren,NA,NA,dreimal,3a,2022-11-10T00:00:00Z,11349,Moorgrundschule Staatliche Grundschule Gumpelstadt,Bad Salzungen OT Gumpelstadt,./22raw/11349_Moorgrundschule_GS_Gumpelstadt_3a.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.3,4.4,139,8,25.5,954,keine,2014-04-24T00:00:00Z,C001464,Landkreis Wartburgkreis
m,138,30,nein,nein,NA,NA,NA,--wählen--,3a,2022-11-10T00:00:00Z,11349,Moorgrundschule Staatliche Grundschule Gumpelstadt,Bad Salzungen OT Gumpelstadt,./22raw/11349_Moorgrundschule_GS_Gumpelstadt_3a.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,geistige Entwicklung,4.6,3.3,100,6,33.9,936,keine,2012-03-21T00:00:00Z,C001465,Landkreis Wartburgkreis
w,134,24,nein,ja,Tanzen/Aerobic,Reiten/Voltigieren,NA,zweimal,3a,2022-11-10T00:00:00Z,11349,Moorgrundschule Staatliche Grundschule Gumpelstadt,Bad Salzungen OT Gumpelstadt,./22raw/11349_Moorgrundschule_GS_Gumpelstadt_3a.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.2,3.1,NA,14,24,792,Probleme Standweitsprung,2014-04-01T00:00:00Z,C001466,Landkreis Wartburgkreis
m,138,50,ja,nein,Andere,NA,NA,einmal,3a,2022-11-10T00:00:00Z,11349,Moorgrundschule Staatliche Grundschule Gumpelstadt,Bad Salzungen OT Gumpelstadt,./22raw/11349_Moorgrundschule_GS_Gumpelstadt_3a.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4,5.8,148,8,24,648,keine,2014-03-05T00:00:00Z,C001467,Landkreis Wartburgkreis
w,145,33,nein,ja,Tanzen/Aerobic,NA,NA,einmal,3a,2022-11-10T00:00:00Z,11349,Moorgrundschule Staatliche Grundschule Gumpelstadt,Bad Salzungen OT Gumpelstadt,./22raw/11349_Moorgrundschule_GS_Gumpelstadt_3a.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.8,2.9,90,5,27,846,keine,2013-12-30T00:00:00Z,C001468,Landkreis Wartburgkreis
m,143,42,ja,nein,Andere,NA,NA,einmal,3a,2022-11-10T00:00:00Z,11349,Moorgrundschule Staatliche Grundschule Gumpelstadt,Bad Salzungen OT Gumpelstadt,./22raw/11349_Moorgrundschule_GS_Gumpelstadt_3a.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.4,3.1,100,6,21,999,keine,2013-10-13T00:00:00Z,C001469,Landkreis Wartburgkreis
m,141,33,ja,nein,Andere,NA,NA,einmal,3a,2022-11-10T00:00:00Z,11349,Moorgrundschule Staatliche Grundschule Gumpelstadt,Bad Salzungen OT Gumpelstadt,./22raw/11349_Moorgrundschule_GS_Gumpelstadt_3a.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.3,3.5,110,7,23,972,keine,2014-07-02T00:00:00Z,C001470,Landkreis Wartburgkreis
w,130,30,ja,nein,Tanzen/Aerobic,NA,NA,einmal,3a,2022-11-10T00:00:00Z,11349,Moorgrundschule Staatliche Grundschule Gumpelstadt,Bad Salzungen OT Gumpelstadt,./22raw/11349_Moorgrundschule_GS_Gumpelstadt_3a.xlsx,Landkreis Wartburgkreis,Westthüringen,2022,nein,4.5,4.1,115,16,22,972,keine,2014-04-15T00:00:00Z,C001471,Landkreis Wartburgkreis
